 3200  1.0000E-01
   i   x             den           ener          pres          vel           cs
  187  4.662500E-01  3.826778E-05  3.310207E+06  8.444952E+01  1.119000E+00  1.917813E+03
  188  4.687500E-01  3.919984E-05  3.231500E+06  8.444952E+01  1.125000E+00  1.894876E+03
  189  4.712500E-01  4.014945E-05  3.155069E+06  8.444952E+01  1.131000E+00  1.872333E+03
  190  4.737500E-01  4.111687E-05  3.080835E+06  8.444952E+01  1.137000E+00  1.850176E+03
  191  4.762500E-01  4.210231E-05  3.008725E+06  8.444952E+01  1.143000E+00  1.828395E+03
  192  4.787500E-01  4.310603E-05  2.938667E+06  8.444952E+01  1.149000E+00  1.806982E+03
  193  4.812500E-01  4.412826E-05  2.870593E+06  8.444952E+01  1.155000E+00  1.785930E+03
  194  4.837500E-01  4.516925E-05  2.804436E+06  8.444952E+01  1.161000E+00  1.765231E+03
  195  4.862500E-01  4.622924E-05  2.740133E+06  8.444952E+01  1.167000E+00  1.744876E+03
  196  4.887500E-01  4.730848E-05  2.677623E+06  8.444952E+01  1.173000E+00  1.724859E+03
  197  4.912500E-01  4.840721E-05  2.616847E+06  8.444953E+01  1.179000E+00  1.705171E+03
  198  4.937500E-01  4.952569E-05  2.557749E+06  8.444953E+01  1.185000E+00  1.685807E+03
  199  4.962500E-01  5.066416E-05  2.500274E+06  8.444953E+01  1.191000E+00  1.666758E+03
  200  4.987500E-01  5.182289E-05  2.444370E+06  8.444953E+01  1.197000E+00  1.648019E+03
  201  5.012500E-01  5.300213E-05  2.389985E+06  8.444953E+01  1.203000E+00  1.629583E+03
  202  5.037500E-01  5.420213E-05  2.337072E+06  8.444953E+01  1.209000E+00  1.611443E+03
  203  5.062500E-01  5.542315E-05  2.285585E+06  8.444953E+01  1.215000E+00  1.593593E+03
  204  5.087500E-01  5.666547E-05  2.235476E+06  8.444953E+01  1.221000E+00  1.576027E+03
  205  5.112500E-01  5.792933E-05  2.186704E+06  8.444954E+01  1.227000E+00  1.558740E+03
  206  5.137500E-01  5.921501E-05  2.139226E+06  8.444954E+01  1.233000E+00  1.541726E+03
  207  5.162500E-01  6.052278E-05  2.093002E+06  8.444954E+01  1.239000E+00  1.524978E+03
  208  5.187500E-01  6.185290E-05  2.047993E+06  8.444954E+01  1.245000E+00  1.508492E+03
  209  5.212500E-01  6.320565E-05  2.004161E+06  8.444954E+01  1.251000E+00  1.492262E+03
  210  5.237500E-01  6.458130E-05  1.961471E+06  8.444954E+01  1.257000E+00  1.476283E+03
  211  5.262500E-01  6.598012E-05  1.919886E+06  8.444954E+01  1.263000E+00  1.460550E+03
  212  5.287500E-01  6.740240E-05  1.879374E+06  8.444955E+01  1.269000E+00  1.445058E+03
  213  5.312500E-01  6.884840E-05  1.839902E+06  8.444955E+01  1.275000E+00  1.429803E+03
  214  5.337500E-01  7.031842E-05  1.801439E+06  8.444955E+01  1.281000E+00  1.414779E+03
  215  5.362500E-01  7.181274E-05  1.763953E+06  8.444955E+01  1.287000E+00  1.399981E+03
  216  5.387500E-01  7.333164E-05  1.727417E+06  8.444955E+01  1.293000E+00  1.385407E+03
  217  5.412500E-01  7.487542E-05  1.691801E+06  8.444955E+01  1.299000E+00  1.371050E+03
  218  5.437500E-01  7.644435E-05  1.657079E+06  8.444956E+01  1.305000E+00  1.356908E+03
  219  5.462500E-01  7.803873E-05  1.623224E+06  8.444956E+01  1.311000E+00  1.342975E+03
  220  5.487500E-01  7.965886E-05  1.590210E+06  8.444956E+01  1.317000E+00  1.329248E+03
  221  5.512500E-01  8.130503E-05  1.558014E+06  8.444956E+01  1.323000E+00  1.315723E+03
  222  5.537500E-01  8.297753E-05  1.526610E+06  8.444956E+01  1.329000E+00  1.302395E+03
